"curah hujan","kecepatan angin maksimum","kecepatan angin minimum","tekanan udara","suhu udara","Keterangan"
"207,6","25","2","990,3","25","1"
"336,6","15","1,7","991,1","25","1"
"292,5","25","2","990,3","25","1"
"271,4","15","2,9","990,4","26","1"
"292,3","18","1,2","989,8","26","1"
"30,3","17","1,8","990,2","26","0"
"63,7","10","2,3","989,6","25","0"
"41,6","15","3,1","990","25","0"
"87,7","46","1,4","990,1","26","0"
"327,3","27","1,7","989,7","26","1"
"207,3","17","1,6","989,8","26","0"
"262,1","14","2,3","989","25","1"
